student_id,firstname,lastname,gender,email
250001,Ciara,Walsh,F,ciara.walsh@uni.ie
250002,Micheal,Connolly,M,micheal.connolly@uni.ie
250003,Xu,Li,M,xu.li@uni.ie
250004,Sia,Khalfaoui,F,sia.khalfaoui@uni.ie
250005,Orlaith,Gallagher,F,orlaith.gallagher@uni.ie
250006,Nora,Curran,F,nora.curran@uni.ie
250007,Sophia,Kim,F,sophia.kim@uni.ie
250008,Dara,Ryan,M,dara.ryan@uni.ie
250009,Roisin,Ward,F,roisin.ward@uni.ie
250010,Brendan,Sheehan,M,brendan.sheehan@uni.ie
250011,Kenji,Lopez,M,kenji.lopez@uni.ie
250012,Bob,Maguire,M,bob.maguire@uni.ie
250013,Saoirse,O'Shea,F,saoirse.oshea@uni.ie
250014,Brian,Curran,M,brian.curran@uni.ie
250015,Micheal,Walsh,M,micheal.walsh@uni.ie
250016,Fiona,O'Reilly,F,fiona.oreilly@uni.ie
250017,Sam,Willis,F,sam.willis@uni.ie
250018,Sorcha,Hogan,F,sorcha.hogan@uni.ie
250019,Kieran,Doyle,M,kieran.doyle@uni.ie
250020,Kim,Carroll,F,kim.carroll@uni.ie
250021,Caoimhe,Lacey,F,caoimhe.lacey@uni.ie
250022,Nora,Khan,F,nora.khan@uni.ie
250023,Aine,Corcoran,F,aine.corcoran@uni.ie
250024,Sean,Doyle,M,sean.doyle@uni.ie
250025,Aoife,Byrne,F,aoife.byrne@uni.ie
250026,Mairead,Ryan,F,mairead.ryan@uni.ie
250027,Tim,Reilly,M,tim.reilly@uni.ie
250028,Cillian,Sheehan,M,cillian.sheehan@uni.ie
250029,Marta,Ivanov,F,marta.ivanov@uni.ie
250030,Luis,Baraja,M,luis.baraja@uni.ie
250031,Sam,Morland,M,sam.morland@uni.ie
250032,Erin,Casey,F,erin.casey@uni.ie
250033,Ronan,Quinn,M,ronan.quinn@uni.ie
250034,Mateusz,Kowalski,M,mateusz.kowalski2@uni.ie
250035,Tadhg,O'Sullivan,M,tadhg.osullivan@uni.ie
250036,Patrick,Daly,M,patrick.daly@uni.ie
250037,Alan,Higgins,M,alan.higgins@uni.ie
250038,Niamh,Molloy,F,niamh.molloy@uni.ie
250039,Sean,Walsh,M,sean.walsh@uni.ie
250040,Li,Meng,F,li.meng@uni.ie
250041,Alan,Keegan,M,alan.keegan@uni.ie
250042,Saoirse,Corcoran,F,saoirse.corcoran@uni.ie
250043,Hana,Schneider,F,hana.schneider@uni.ie
250044,Colm,Kavanagh,M,colm.kavanagh@uni.ie
250045,Eimear,Curran,F,eimear.curran@uni.ie
250046,Jonas,Smyth,M,jonas.smyth@uni.ie
250047,Eabha,Connolly,F,eabha.connolly@uni.ie
250048,Cormac,Fitzgerald,M,cormac.fitzgerald@uni.ie
250049,Saoirse,Gallagher,F,saoirse.gallagher@uni.ie
250050,Nicole,Martinez,F,nicole.martinez@uni.ie
